deutsch,english
vorbei,over
treffen,meet
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,behind
sorgen,care for
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,seek
finde,find
je,ever
woher,from where
lang,long
job,job
keiner,none
seinem,his
hört,hear
verstehen,understand
spielen,play
s.,s.
überhaupt,at all
teufel,devil
verstanden,understood
verloren,lost
große,size
hand,hand
grund,reason
jahr,year
kommst,come
mama,mummy
ruhe,quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,thinking
oben,above
gestern,yesterday
versuchen,trying
art,kind
letzten,last
schatz,treasure
endlich,finally
he,hey
nimm,take
etwa,approximately
erzählt,told
läuft,running
schwer,difficult
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tried
gekommen,came
geschichte,story
wenig,few
holen,fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,which
bestimmt,certainly
hoch,high
alter,age
sagst,say
schau,look
ah,uh
land,country
zimmer,room
wagen,dare
vier,four
gefallen,fallen
spaß,fun
niemals,never
schuld,fault
getötet,killed
wollten,wanted to
verlassen,leave
zeigen,show
beste,best
ernst,serious
unserer,ours
denen,whom
ort,location
bleibt,remains
würdest,would
manchmal,sometimes
glaubst,believe
seite,page
lasst,leaves
zwischen,between
eben,even
während,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefällt,pleases
kleinen,small
erzählen,tell
anderes,other
tage,days
entschuldigen,excuse
wichtig,important
gehst,walking
allen,all
bett,bed
mrs.,Mrs.
sachen,things
the,the
schlecht,bad
schule,school
entschuldigung,excuse
wort,word
john,John
hättest,would have
wären,be
typ,Type
schlafen,sleep
äh,uh
tu,tu
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,person
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,tust
trinken,drink
einige,some
dies,this
ding,thing
unseren,ours
kriegen,get
blut,blood
ehrlich,honest
eltern,parents
scheint,appears
herz,heart
jack,Jack
glücklich,happy
alte,old
alt,old
bleib,stay
wiedersehen,reunite
frei,free
wen,whom
drauf,on it
möglich,possible
irgendwie,somehow
reicht,suffices
fest,firmly
besten,best
waffe,weapon
kaum,barely
irgendwas,anything
klingt,sounds
platz,place
brauchst,needs
rede,speech
papa,father
falsch,incorrect
sondern,rather
alten,old
nummer,number
früher,earlier
jungen,boys
wohin,where
außer,except
früh,early
setzen,set
zuerst,first
wahrscheinlich,probably
dürfen,may
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,rescue
hierher,here
wär,would be
bring,bring
fehler,mistake
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,crowd
langsam,slow
bereits,already
wartet,waiting
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,gift
wochen,weeks
ruf,call
schaffen,create
leider,unfortunately
scheiß,shit
hölle,hell
trotzdem,despite it
doktor,doctor
tja,well
new,new
voll,full
film,Movie
überall,everywhere
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
könig,king
danach,thereafter
funktioniert,functions
hattest,hate
lernen,learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,fire
laufen,run
alleine,alone
erinnern,remember
völlig,fully
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I
entschuldige,sorry
ziehen,pull
verschwinden,disappear
könntest,might
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,ours
suche,search
zwar,that is
groß,large
hol,brow
buch,book
krank,sick
fühle,feel
jedes,every
verstehst,understand
wert,value
arzt,physician
froh,glad
versuche,try
straße,street
rufen,call
heiraten,marry
super,Excellent
sam,sam
lebt,lives
gutes,good
lasse,let
onkel,uncle
total,total
gebracht,brought
party,party
erklären,explain
spielt,plays
wahl,choice
vertrauen,trust
damals,at that time
tagen,days
leicht,light
nachdem,after
gegangen,gone
gefühl,feeling
kaufen,buy
geschafft,done
typen,guy
interessiert,interested
möchten,want
halte,hold
hält,holds
glaub,belief
irgendwo,somewhere
stück,piece
genauso,just as
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,heaven
nachricht,news
drüben,over there
passt,fits
sagten,said
kümmern,take care
laut,loud
vergiss,forgetful
angerufen,called
sitzen,sit
daß,that
erde,earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,jail
opfer,victim
körper,body
solche,such
mist,damn
mr,mr
findet,find
schreiben,write
böse,evil
gesprochen,spoken
versuch,attempt
vorstellen,introduce
wovon,About what
sobald,as soon as
nochmal,again
herren,Men's
sex,sex
waffen,weapons
wohnung,apartment
weh,sore
heißen,be called
krankenhaus,hospital
bringe,bring
höre,listen
millionen,millions
klasse,class
hart,hard
worden,gone
sinn,sense
außerdem,aside from that
verletzt,injured
ändern,change
erfahren,experience
tragen,carry
wenigstens,at least
vorsichtig,cautious
daddy,daddy
stolz,proud
stark,strong
fällt,fall
möchtest,want
leuten,people
besonders,particularly
schöne,lovely
schicken,send
person,person
schätze,appreciate
solange,as long as
länger,longer
großartig,great
lacht,laughs
anrufen,call
stand,was standing
redest,speech
fühlen,feel
erwartet,expected
boden,floor
boss,boss
stimme,agree
glaubt,believes
still,quiet
sicherheit,security
setz,setting
ma,MA
mund,mouth
kämpfen,battle
wisst,know
lachen,laugh
hörst,hear
zeug,things
lustig,funny
umbringen,kill
sollst,thorough
hasse,hate
schlimm,terrible
o,O
unglaublich,incredible
wärst,be
laden,load
führen,lead
gestorben,died
schauen,look
meinung,opinion
lesen,read
mörder,murderer
frank,frank
ähm,um
geschehen,happen
geschäft,business
idiot,idiot
verzeihung,forgiveness
fliegen,fly
zeig,show
team,team
general,general
mike,Mike
aufs,onto
york,York
vorher,previously
schluss,ending
schneller,more quickly
liebt,loved
verdient,earned
mögen,like
meisten,most
denk,think
umgebracht,killed
perfekt,perfect
versprochen,promised
handy,mobile
hinten,rear
monate,months
erinnere,remind
acht,eight
arbeitet,is working
fallen,fall
rufe,calls
nötig,necessary
a,A
mord,murder
heraus,out of here
tages,day
unmöglich,impossible
liebling,darling
charlie,Charlie
tatsächlich,actually
folgen,consequences
bitten,ask
behalten,keep
nähe,vicinity
arbeite,work
joe,Joe
verdammte,damn
plötzlich,suddenly
lebens,life
hole,hole
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,lay
verkaufen,sell
gefährlich,dangerous
anfangen,begin
bekommt,receives
machte,made
ha,Ha
hotel,hotel
hilft,helps
werdet,become
meister,master
kampf,battle
antwort,answer
konnten,could
geschickt,sent
jedem,each
obwohl,although
sieben,seven
komisch,funny
gewinnen,win
ihres,hers
bezahlt,paid
you,You
voller,full of
unterwegs,on the way
dumm,dumb
ärger,aggravation
bild,picture
george,George
neu,new
bezahlen,pay
dagegen,against it
seien,be
starb,died
tom,Tom
monaten,months
leiche,corpse
niemanden,nobody
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,rescued
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,catch
fort,on
ständig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,werry
ziel,goal
benutzt,used
bewegung,movement
jemandem,someone
wünschte,wish
worte,words
kamen,came
welcher,which
zahlen,pay
anfang,beginning
legen,place
erinnerst,reminded
anwalt,attorney
fahr,driving
sitzt,sitting
hilf,help
offen,open
schönen,beautiful
monsieur,Monsieur
müsste,should
arme,poor
bier,beer
fürs,for
partner,partner
klein,small
david,David
klappe,flap
süß,sweet
herum,around
finger,finger
ehe,before
rolle,role
ließ,left
gleiche,same
monat,month
hochzeit,wedding
max,Max
führt,leads
paris,Paris
wach,awake
wozu,for what reason
arm,poor
geschrieben,written
chef,boss
benutzen,use
informationen,information
erledigt,completed
hoffentlich,hopefully
müsst,must
fühlt,feels
tanzen,dance
ansehen,view
darfst,may
zuhause,at home
wunderbar,wonderful
hältst,hold
reise,trip
gewonnen,won
dame,lady
irgendwann,sometime
chffffff,CHFFFFFF
alex,Alex
steckt,plugged
jedenfalls,anyway
schreit,cries
tolle,great
rüber,over
tschüss,bye
nennt,calls
raum,space
heiß,hot
foto,photo
kalt,cold
paul,Paul
irgendetwas,anything
weile,while
bisher,until now
minute,minute
unbedingt,absolutely
zug,train
sekunden,seconds
wofür,for what
erzähl,tell
nen,nen
beweise,proofs
nahm,took
aller,all
freut,happy
seele,soul
schießen,shoot
müde,tired
dauert,lasts
magst,like
harry,Harry
brief,letter
gelernt,learned
sucht,seeks
bekannt,known
weitere,more
unfall,accident
dahin,then
kontrolle,control
beispiel,example
lady,lady
dasselbe,the same thing
herzen,heart
schlagen,hit
wütend,angry
weise,way
damen,ladies
darin,in this
gottes,God
holt,get
fehlt,missing
vorsicht,caution
heiße,name is
beweisen,prove
gehabt,had
zumindest,at least
vermisst,missing
hübsch,pretty
kriegt,gets
verbindung,connection
tief,deep
richtung,direction
lage,location
sowieso,anyway
kraft,power
normal,normal
lauf,run
ehre,honor
stell,stall
geschenk,gift
bar,bar
tasche,bag
gelesen,read
gekauft,bought
wussten,knew
gestohlen,stolen
hunger,hunger
leg,leg
lügen,lie
beziehung,relationship
ben,ben
verschwunden,disappeared
steh,standing
nächstes,next
gearbeitet,worked
preis,price
witz,joke
meinte,meant
liste,list
geist,spirit
neben,next to
gesucht,wanted
firma,company
süße,sweetness
rücken,back
schrecklich,terrible
letzter,last
verliebt,in love
öffnen,open
redet,talking
boot,boat
seltsam,strange
versteckt,hidden
fürchte,fear
verschwinde,disappear
erwischt,caught
verkauft,sold
tante,aunt
erwarten,expect
pferd,horse
wunder,wonder
sauer,sour
vermutlich,allegedly
näher,closer
major,major
jung,young
majestät,majesty
aussehen,look
ans,ans
de,de
and,and
links,Left
großes,big
welches,which
beschützen,to protect
geboren,born
erreichen,to reach
punkt,point
kindern,children
kirche,church
verraten,betrayed
selber,himself
befehl,command
colonel,colonel
fährt,moves
zieht,pull
geburtstag,birthday
haut,skin
wette,bet
reich,rich
sekunde,second
fahre,drive
schwöre,swear
geredet,talked out
james,James
madame,Madame
eigene,own
zeiten,times
traurig,sad
anruf,call
nachrichten,news
frieden,peace
karte,map
güte,quality
euren,yours
diesmal,this time
schade,Pity
persönlich,personal
kriege,wars
stirbt,dies
bleibe,stay
verändert,changed
sonne,sun
lieb,dear
nämlich,namely
letztes,last
bekam,got
ruft,calls
professor,professor
gericht,court
nase,nose
ewig,forever
singen,to sing
bank,Bank
beschäftigt,busy
computer,computer
yeah,yeah
toten,kill
weihnachten,Christmas
offensichtlich,apparently
naja,Oh well
henry,henry
gefühle,feelings
fuß,foot
show,show
überraschung,surprise
geheimnis,secret
fbi,FBI
kontakt,Contact
gold,gold
drogen,drugs
regierung,government
wein,wine
kriegst,get
ermordet,murdered
fotos,photos
entfernt,removed
geschlafen,slept
manche,some
erledigen,complete
ran,ran
gegenüber,opposite
schlaf,sleep
lust,desire
wunderschön,beautiful
witzig,funny
nick,nick
zerstört,destroyed
übrigens,by the way
willen,sake
heim,home
richtigen,right
deines,yours
namens,called
zeigt,shows
geliebt,loved
gehören,belong
brachte,brought
herrn,Mr
blick,view
besuch,visit
schlechte,bad
bewegen,move
haare,hair
antworten,answer
präsident,president
sagtest,says
hoffnung,hope
stecken,put
lebe,live
rechts,right
interessant,Interesting
entscheiden,decide
miteinander,each other
meint,means
liebst,loving
indem,by
bleibst,stay
kümmere,care
wohnen,reside
weder,neither
möglichkeit,possibility
kaputt,broken
bekomme,Get
flugzeug,airplane
vergangenheit,past
anderer,another
zweite,second
armee,army
jim,Jim
tee,tea
entweder,either
weiss,white
don,Don
detective,detective
aufhalten,stop
stellt,places
verspreche,promise
überrascht,surprised
sauber,clean
hau,hood
mark,mark
schlag,punch
sheriff,sheriff
untertitel,subtitle
setzt,puts
frag,question
vaters,father
nervös,nervous
gesellschaft,company
verstecken,hide
schuldig,guilty
hals,neck
schützen,protect
besuchen,visit
of,of
passen,fit
überleben,survive
erhalten,receive
teilen,split
gebäude,building
schicksal,fate
zeichen,sign
richter,judge
besorgt,worried
küche,kitchen
lief,ran
vergnügen,enjoyment
wüsste,desire
volk,people
lhr,LHR
herausfinden,find out
königin,queen
soldaten,soldiers
feiern,celebrate
situation,situation
lag,lag
gelassen,calmly
allerdings,however
soweit,so far
gefahren,driven
verstand,understanding
bord,board
schönes,nice
jimmy,Jimmy
billy,Billy
angefangen,begun
lee,lee
fühlst,feel
bob,bob
mussten,had to
rat,advice
worauf,whereupon
gebeten,requested
tony,tony
kamera,camera
achtung,danger
lieutenant,lieutenant
ganzes,whole
schuhe,shoes
sarah,Sarah
glückwunsch,congratulations
niemandem,no one
gibst,give
statt,instead of
übernehmen,take over
gegend,area
wald,forest
al,al
la,la
nimmst,take
danny,Danny
erkennen,recognize
glas,glass
falsche,false
verantwortlich,responsible
jesus,Jesus
stöhnt,groaned
herein,in
kleid,a dress
zerstören,destroy
jawohl,yes indeed
london,London
gegessen,eaten
abendessen,dinner
gesetz,law
gemeinsam,together
geholfen,helpful
erster,first
wohnt,lives
schritt,step
guck,look
nahe,vicinity
aussieht,looks
beginnen,begin
dachten,thought
band,tape
ungefähr,approximately
aufgabe,task
neun,nine
furchtbar,terrible
drinnen,inside
zuvor,before
charles,Charles
freue,am happy
amerika,America
übrig,left over
spur,track
falschen,false
sergeant,sergeant
melden,report
helfe,help
werfen,throw
bill,bill
haltet,hold
erinnert,remind
hängt,hangs
freude,joy
ehemann,husband
erschossen,shot
verzeihen,pardon
schwein,pig
uh,uh
monster,monster
entschieden,decided
mission,mission
verdammten,damn
brauch,custom
gewusst,known
vorne,in front
stopp,stop
übel,bad
schlampe,slut
schöner,more beautiful
adresse,address
unsinn,nonsense
messer,knife
gesund,healthy
respekt,respect
pro,Per
leisten,afford
davor,before
richard,Richard
bedeuten,mean
ball,ball
mitnehmen,take along
gespielt,played
to,to
schwierigkeiten,difficulties
hälfte,half
kannte,knew
stehe,standing
maria,Maria
planeten,planet
schwanger,pregnant
gruppe,group
anna,Anna
verhaftet,arrested
deal,deal
seines,his
irgendwelche,any
händen,hands
versteht,understands
drehen,turn
eis,ice
danken,to thank
erfolg,success
zufrieden,satisfied
schließen,close
besorgen,obtain
wochenende,weekend
worüber,about what
stimmen,voices
nehmt,take
martin,Martin
m,M
witze,jokes
beine,legs
verbrechen,crime
bericht,report
nachts,at night
eurer,your
prinzessin,princess
schmerz,pain
klingelt,rings
position,position
echte,real
gleichen,resemble
fernsehen,TV
wünsche,wishes
schließlich,finally
gefangen,caught
schätzchen,baby
seh,see
schwierig,difficult
angebot,offer
nah,close
jane,Jane
gewartet,waited
kümmert,takes care
ring,ring
rennen,run
lied,song
eier,egg
welchen,which
sorry,sorry
fantastisch,fantastic
schaut,looks
hielt,held
falle,cases
drink,drink
insel,island
dauern,last
daher,therefore
zufällig,randomly
dorf,village
clark,Clark
bewegt,emotional
mitten,in the middle
bullen,cops
feind,enemy
einverstanden,agreed
neuer,newer
bauen,build
trägt,carries
hängen,hang
freunden,friends
deren,whose
halb,half
verpasst,lost
sprach,speech
leise,quiet
armen,arm
wusstest,chewing test
fanden,found
unternehmen,company
träume,dreams
schläft,is sleeping
kostet,costs
spiele,gaming
unseres,ours
entlang,along
johnny,Johnny
versprechen,promise
tiere,animals
freiheit,freedom
verdienen,earn
aha,Aha
unterhalten,entertain
eingeladen,invited
schaden,damage
genannt,called
beenden,finish
ray,ray
geändert,changed
thomas,Thomas
lächerlich,ridiculous
geschlagen,beaten
park,park
schätzen,treasure
männern,male
t,T
beginnt,begins
ehren,to honor
größte,greatest
energie,energy
fleisch,meat
besonderes,special
besteht,consists
reichen,are sufficient
robert,Robert
zeitung,newspaper
worum,what
nachgedacht,thoughtful
betrunken,drunk
sowas,like this
patienten,patient
gespräch,conversation
leiden,Suffer
taxi,taxi
tötet,killed
see,lake
unterschied,difference
wind,wind
singt,sings
schreien,scream
daniel,Daniel
sahen,saw
wand,wall
bus,bus
lhre,lhre
angriff,attack
verhalten,behave
loch,hole
interesse,interest
treten,step
quatsch,nonsense
trifft,meets
polizist,police officer
blumen,flowers
neuigkeiten,news
bringst,brings
flasche,bottle
rief,called
schuss,shot
fassen,grasp
meer,sea
konntest,can
schafft,creates
maschine,machine
spreche,speak
bein,leg
eddie,Eddie
bekommst,get
verbringen,spend
bücher,Books
blöd,stupid
frühstück,breakfast
tommy,Tommy
meter,meter
bilder,pictures
aufpassen,watch out
claire,claire
dessen,whose
muß,must
freuen,be happy
engel,Angel
offenbar,apparently
gelegenheit,opportunity
fang,catch
lüge,lie
ohren,ears
au,au
angetan,impressed
beeil,hurry
brechen,break
brüder,brothers
zeitpunkt,time
keinem,none
ecke,corner
brücke,bridge
druck,pressure
mitgebracht,brought
seufzt,sigh
date,date
haufen,heap
oma,granny
auftrag,order
leer,empty
entkommen,escape
bobby,Bobby
weißen,white
lösung,solution
wart,wart
pause,Break
irre,crazy
gestellt,placed
keller,"basement, cellar"
gebrochen,Broken
weinen,cry
nutzen,to use
wünschen,wish
fragt,asks
maul,mouth
verantwortung,responsibility
schloss,lock
hut,cap
lächeln,smile
ryan,ryan
rot,red
grad,Degree
zweiten,second
hinaus,out of
mitkommen,come along
vorhin,earlier
fahrt,drive
gemeint,meant
ernsthaft,seriously
gebaut,built -up
bombe,bomb
hasst,hate
versteh,understand
kosten,cost
zeige,show
traf,met
eigenes,own
haar,hair
fragte,asked
jason,Jason
operation,surgery
befehle,commands
schmerzen,pains
erklärt,explained
steve,Steve
dach,roof
folge,consequence
gelaufen,ran
schwarze,black
dankbar,thankful
gehirn,brain
töte,killing
mädels,girls
mut,courage
heilige,holy
laura,Laura
tier,animal
system,system
mannes,man
wahnsinn,craziness
nee,no
rose,rose
club,club
geschlossen,closed
hintern,butt
is,is
thema,theme
fiel,fell
gehalten,held
dorthin,there
urlaub,vacation
steig,climb
vorwärts,forward
überprüfen,check
besseres,better
beweis,proof
baum,tree
gebt,giving
funktionieren,function
anscheinend,apparently
lehrer,teacher
hoffen,hope
bessere,better
isst,eats
nachmittag,afternoon
nem,nem
risiko,risk
chuck,chuck
knast,jail
entschuldigt,sorry
gilt,applies
held,hero
daraus,from this
erstes,first
fräulein,young lady
rachel,wing
prima,fine
brauchte,needed
gewalt,force
dean,dean
liebes,Dear
schaffst,manage
nachdenken,ponder
tor,goal
erfahrung,experience
pläne,plans
jagen,to hunt
katze,cat
runde,round
deutsche,German
schwanz,tail
taten,act
lord,lord
dringend,urgent
commander,commander
großvater,grandfather
sommer,summer
gezeigt,shown
hinterlassen,leave behind
gewissen,conscience
getrunken,drunk
wahre,real
luke,hatch
kunden,customers
kate,Kate
zeugen,witness
geplant,planned
amanda,amanda
erreicht,reached
stören,disturb
stein,stone
atmen,breathe
hose,trousers
weiße,white
sprichst,speak
größer,greater
schickt,sends
city,City
prinz,prince
behandelt,treated
tote,dead
überlegen,superior
karten,cards
it,IT
d,D
restaurant,restaurant
welchem,which
roger,Roger
natur,nature
carter,carter
emily,Emily
mami,mommy
verschwindet,disappears
lautet,is the case
streit,dispute
küssen,kiss
sprich,speaking
längst,a long time ago
fängt,catches
drüber,over it
gingen,went
erlaubt,allowed
einzigen,single
bad,bath
schmeckt,tastes
kugel,bullet
normalerweise,normally
schwarzen,black
rauf,up
flug,flight
beruhigen,calm
walter,Walter
halbe,half
dan,Dan
geschieht,happens
einiges,some
entdeckt,discovered
morgens,In the morning
schlechter,worse
vollkommen,completely
gelogen,lied
verfolgt,tracked
college,college
weiteren,further
chris,chris
louis,louis
eh,eh
schwert,sword
hunde,dogs
steigen,climb
verdammter,damn
dürfte,should
riecht,smells
labor,laboratory
bat,bat
tim,Tim
arthur,Arthur
mindestens,at least
fisch,fish
eurem,of your
füße,feet
stehst,stand
erschießen,shoot
kuchen,cake
versuchte,tried
zustand,condition
wunsch,wish
gäste,Guests
erwähnt,mentioned
farbe,color
van,van
einigen,agree
zufall,coincidence
garten,garden
junger,younger
autos,cars
abgesehen,beyond
fair,fair
vertraut,trusted
koffer,suitcase
hieß,was called
kurs,course
wirkt,acts
idioten,idiot
netter,nicer
seitdem,since
angegriffen,attacked
geschichten,stories
wahnsinnig,insane
ähnlich,similar
lily,lily
aufgeben,give up
england,England
entführt,kidnapped
ms.,MS.
mistkerl,riots
solchen,such
ner,ner
geschossen,shot
lager,camp
besprechen,discuss
reihe,row
polizisten,police officers
vogel,bird
legt,places
strand,beach
amerikaner,American
schwarz,black
fern,remote
fick,fuck
scherz,hoax
san,San
erzählte,told
wichser,wanker
jake,jake
langweilig,boring
womit,by which
geschäfte,businesses
my,my
kapiert,Got it
nachher,afterward
verlangt,required
schlägt,beats
überzeugt,convinced
irgendjemand,Someone
rot,red
soldat,soldier
vorbereitet,prepared
geschah,happened
reisen,travel
termin,meeting
gang,corridor
stehlen,steal
rechte,right
rache,revenge
bemerkt,noticed
frankreich,France
stört,disturbs
radio,radio
beruhige,calm down
pferde,horses
vertrag,contract
arbeitest,worker
dienst,service
zählt,counts
fragst,asking
wesen,beings
bürgermeister,mayor
emma,Emma
fluss,flow
woran,what
geblieben,remained
durcheinander,mixed up
me,me
ted,ted
nette,nice
test,test
mister,Mister
dadurch,through this
direktor,director
wichtiger,more important
kevin,Kevin
scott,scott
karriere,Career
akte,file
erinnerung,memory
großmutter,grandmother
erzähle,tell
lösen,solve
bravo,Bravo
griff,handle
verfolgen,track
zweifel,doubt
such,search
sprache,language
nerven,annoy
officer,officer
andy,Andy
langer,longer
ziehe,pull
entlassen,dismissed
zweimal,twice
abholen,pick up
washington,Washington
kollegen,colleagues
doc,Doc
fass,barrel
szene,scene
robin,Robin
scheinen,seem
bösen,nourish
schaffe,creative
pflicht,duty
wache,guard
neulich,recently
beeilen,hurry up
